level_0,level_1,level_2,L2_data
0,20,24,3.924947363645118e-06
0,21,0,1.476273762610223e-06
0,21,1,-6.342328687091408e-06
0,21,2,-1.0265432955007889e-05
0,21,3,-7.757117253949782e-06
0,21,4,-6.404457566294846e-07
0,21,5,6.5737555215587025e-06
0,21,6,1.031492406123703e-05
0,21,7,1.0074633529437195e-05
0,21,8,8.208132140391702e-06
0,21,9,7.410885980468542e-06
0,21,10,8.720308237768158e-06
0,21,11,1.0887333337301357e-05
0,21,12,1.2091302782560648e-05
0,21,13,1.1629323572323225e-05
0,21,14,1.0863615687421889e-05
0,21,15,1.1865633995563177e-05
0,21,16,1.5605802449595528e-05
0,21,17,2.0645452462037173e-05
0,21,18,2.4462862706551854e-05
0,21,19,2.554242003511527e-05
0,21,20,2.4974520522532e-05
0,21,21,2.5179842075705322e-05
0,21,22,2.773265470645953e-05
0,21,23,3.151532575002206e-05
0,21,24,3.401176709471645e-05
0,22,0,-7.136029705515519e-06
0,22,1,-1.0716778401353455e-05
0,22,2,-1.3156990326290948e-05
0,22,3,-1.2692072240977184e-05
0,22,4,-9.429348562704478e-06
0,22,5,-5.358788630173399e-06
0,22,6,-3.3356778122782974e-06
0,22,7,-5.196300824501119e-06
0,22,8,-1.0474111454601765e-05
0,22,9,-1.6329640996085738e-05
0,22,10,-1.9293024930611334e-05
0,22,11,-1.7553142829869737e-05
0,22,12,-1.241065255515801e-05
0,22,13,-7.271301636789765e-06
0,22,14,-5.093452314933545e-06
0,22,15,-5.9217068688553156e-06
0,22,16,-7.069306445113852e-06
0,22,17,-5.5765505648842456e-06
0,22,18,-1.15971790078959e-06
0,22,19,3.483885124232561e-06
0,22,20,5.032299352565103e-06
0,22,21,2.822097520353003e-06
0,22,22,-4.5302336022227476e-07
0,22,23,-1.005034500234171e-06
0,22,24,2.4470494368878923e-06
0,23,0,1.1753888016138295e-05
0,23,1,1.4414198492349196e-05
0,23,2,1.5426244509298785e-05
0,23,3,1.5026361563366657e-05
0,23,4,1.403125752842755e-05
0,23,5,1.2871306761654726e-05
0,23,6,1.1130838503862676e-05
0,23,7,8.320099726739052e-06
0,23,8,4.764053801525573e-06
0,23,9,1.7957976350235884e-06
0,23,10,6.639641496680144e-07
0,23,11,1.4289480400165074e-06
0,23,12,2.6926810855725472e-06
0,23,13,2.832633824736877e-06
0,23,14,1.3090367972900877e-06
0,23,15,-8.160414005786668e-07
0,23,16,-1.947625561054429e-06
0,23,17,-1.228485504517231e-06
0,23,18,8.854568001059956e-07
0,23,19,3.5737446939966368e-06
0,23,20,6.573406379575605e-06
0,23,21,1.0367225001251125e-05
0,23,22,1.501545031748751e-05
0,23,23,1.940935310395643e-05
0,23,24,2.1619556483012785e-05
0,24,0,1.4685331017148754e-05
0,24,1,1.4485969322256675e-05
0,24,2,1.473719628626585e-05
0,24,3,1.636018900770737e-05
0,24,4,1.981562690369508e-05
0,24,5,2.4486943146816318e-05
0,24,6,2.8863121112072565e-05
0,24,7,3.159854397217833e-05
0,24,8,3.2485921051402944e-05
0,24,9,3.25553032285984e-05
0,24,10,3.3092917770432596e-05
0,24,11,3.453675755361569e-05
0,24,12,3.6056099870370866e-05
0,24,13,3.6170303721955776e-05
0,24,14,3.372332000192629e-05
0,24,15,2.8588601043393903e-05
0,24,16,2.1628508883115385e-05
0,24,17,1.4332046806564183e-05
0,24,18,8.27312421273653e-06
0,24,19,4.706208792203235e-06
0,24,20,4.141398302730518e-06
0,24,21,6.138988207718316e-06
0,24,22,9.363627604561228e-06
0,24,23,1.2274242918152988e-05
0,24,24,1.3980107790885448e-05
0,25,0,1.1413146379855285e-05
0,25,1,1.195744978862358e-05
0,25,2,1.3382188924385306e-05
0,25,3,1.5258740208430239e-05
0,25,4,1.7165058281450262e-05
0,25,5,1.8664753869533127e-05
0,25,6,1.992803290140583e-05
0,25,7,2.1542419614522028e-05
0,25,8,2.4131952240276268e-05
0,25,9,2.7351392131549446e-05
0,25,10,3.0140843685036086e-05
0,25,11,3.146306575420638e-05
0,25,12,3.145735434273752e-05
0,25,13,3.0910047959703605e-05
0,25,14,3.0230540808492647e-05
0,25,15,2.8328300740634626e-05
0,25,16,2.382462854516752e-05
0,25,17,1.6873525224315374e-05
0,25,18,1.0404188941786398e-05
0,25,19,7.989865541561588e-06
0,25,20,1.0878840885648564e-05
0,25,21,1.608302778489616e-05
0,25,22,1.8774353399684442e-05
0,25,23,1.6253019718355477e-05
0,25,24,1.0841810727132499e-05
0,26,0,1.8194715921608352e-05
0,26,1,1.5381924219311157e-05
0,26,2,1.3272737958621346e-05
0,26,3,1.3627237053229792e-05
0,26,4,1.8863956572610536e-05
0,26,5,2.8574587587950546e-05
0,26,6,3.826020329363109e-05
